subID,alpha,theta,gamma,w,nll_idv,nll_grp
82,0.28,0.41,0.99,-1.0,246.65168400274808,105.01800323362866
27,0.26,0.44,0.97,-1.0,261.25734455107,71.26250720657058
28,0.48,0.6,0.88,-1.0,149.883064046734,62.82103324733045
29,0.08,1.36,0.0,-1.0,252.91363021202807,127.8227312744725
33,0.68,0.17,0.87,-1.0,187.61204557686585,94.9908271281743
34,0.11,0.93,0.48,-1.0,124.47185812599498,111.69728748130129
35,0.68,0.56,0.88,-1.0,96.05686044942205,49.5630118220546
36,0.08,0.94,0.06,-1.0,310.26595211516747,130.381743285439
37,0.57,0.44,0.98,-1.0,346.33898635109466,101.06544639566785
46,0.52,0.4,0.72,-1.0,274.4017103875592,75.74512482823461
62,0.68,1.5,0.95,-1.0,505.9649373369068,171.86511431599428
70,0.13,0.94,0.08,-1.0,198.43460420861425,51.15773168500993
71,0.12,0.84,0.48,-1.0,186.11382444546967,86.55523048315672
74,0.56,0.17,0.88,-1.0,196.0499821067858,88.32136180209011
78,0.0,0.72,0.0,-1.0,330.15324052105933,100.50570838305617
84,0.24,0.44,0.26,-1.0,210.8273058981218,101.91701154515394
85,0.7,1.04,0.36,-1.0,235.61953188427412,110.18344818080878
87,0.15,0.38,0.32,-1.0,263.3383825922214,90.49047706156416
0,0.0,1.36,0.0,-1.0,424.7425679594074,185.96683929501793
1,0.48,1.29,0.71,-1.0,151.8564913281052,77.91003749306104
2,0.52,0.52,0.0,-1.0,196.00567336569426,115.55529005739919
3,0.14,0.76,0.88,-1.0,261.5515786969562,87.52521634568689
13,0.12,0.6,0.88,-1.0,269.27384443414786,96.90564698857054
4,0.22,0.37,0.98,-1.0,219.24738554477088,85.32712761278715
5,0.86,0.39,0.86,-1.0,234.183653716091,92.59361535966316
6,0.1,0.64,0.72,-1.0,349.1096786903498,134.80197424497925
7,0.14,1.28,0.48,-1.0,184.01799759622259,56.88049671872431
8,0.52,0.2,0.98,-1.0,210.28351077299055,72.15275647710034
9,0.17,0.48,0.68,-1.0,247.61922119108252,85.2278834959828
10,0.66,0.76,0.52,-1.0,192.1714475244582,63.94900943507623
11,0.19,0.61,0.88,-1.0,273.35035501593853,88.84472481371283
12,0.41,1.32,0.57,-1.0,151.9214940882488,50.77322736592227
14,0.48,0.52,0.88,-1.0,281.34204053151404,108.1839771905695
15,0.14,0.82,0.0,-1.0,128.4896100019151,114.74036810291133
16,0.01,1.5,0.0,-1.0,251.36680564912018,157.58481179449322
17,0.43,0.68,0.87,-1.0,308.33383008897715,97.0236827940213
18,0.52,1.28,0.29,-1.0,222.69768660754536,159.56233672312388
19,0.28,0.09,1.0,-1.0,224.8921019284951,91.54073141449214
20,0.08,0.66,0.68,-1.0,246.84551727575717,86.71392541108484
21,0.09,1.32,0.0,-1.0,243.24147237509789,116.13308071149484
22,0.36,0.4,0.8,-1.0,258.1913709695538,63.79260967563898
23,0.28,0.28,1.0,-1.0,211.68394369583794,90.00813716892777
24,0.0,0.63,0.0,-1.0,279.28438843146694,109.75041573612185
25,0.28,1.03,0.62,-1.0,280.0709941611129,126.0367835567882
26,0.09,1.5,0.88,-1.0,285.7107496326521,119.67541042511108
30,0.5,0.52,0.8,-1.0,182.93832495960535,113.51951227362933
31,0.38,0.52,0.98,-1.0,234.87944696196726,90.22276969567274
32,0.57,0.48,0.88,-1.0,171.50016166765226,82.10351664584101
38,0.32,0.31,1.0,-1.0,277.80520749749695,63.83758682283041
39,0.97,0.01,0.99,-1.0,155.2759809516115,79.28577687611302
40,0.17,0.27,0.55,-1.0,281.76988611634374,77.70257341800834
41,0.0,0.71,0.0,-1.0,263.77969662918014,92.05535251742681
42,0.58,0.35,0.72,-1.0,203.83154238507515,67.74334123264852
43,0.12,0.44,0.57,-1.0,765.1192397626701,91.5831807100266
44,0.75,0.65,0.82,-1.0,179.71053361675294,80.95546533552152
45,0.32,0.48,0.95,-1.0,206.12721296344353,82.52551526167846
47,0.36,1.32,0.67,-1.0,148.1186549147203,41.82426790093733
48,0.23,0.68,0.86,-1.0,251.84794495763137,75.24368745499424
49,0.08,0.64,0.1,-1.0,291.0134689063337,83.30806721267682
50,0.13,1.08,0.44,-1.0,173.76147753139128,40.518894244601654
51,0.52,0.44,0.95,-1.0,226.17170240966163,74.0715293057859
52,0.04,0.3,0.0,-1.0,282.7738396893888,90.0889096753338
53,0.14,0.82,0.08,-1.0,473.3316639972581,92.21198920176941
54,0.23,0.51,0.72,-1.0,326.7301427121976,159.20637479035926
55,0.0,1.3,0.0,-1.0,297.1557986361545,125.24934556137778
56,0.0,0.7,0.0,-1.0,375.32066526934557,142.98796163832935
57,0.28,0.38,0.91,-1.0,257.8340303154292,69.28445066895945
58,0.7,0.4,0.77,-1.0,228.45307120838592,96.98840912803159
59,0.74,0.32,0.88,-1.0,194.70116618304291,77.86065333091403
60,0.15,0.31,0.84,-1.0,233.73063477383968,88.06441710396608
61,0.72,0.16,0.99,-1.0,158.2412638241456,35.27658140427879
63,0.28,0.47,0.29,-1.0,210.95855681715486,99.12454003206699
64,0.0,0.72,0.0,-1.0,524.2534452497414,59.53028504072195
65,0.09,0.45,0.0,-1.0,208.94822636549202,78.1149167630271
66,0.13,0.47,1.0,-1.0,237.74976482913647,81.12283594012445
67,0.25,0.19,0.88,-1.0,270.9120201529835,91.28536404843823
68,0.08,0.52,1.0,-1.0,320.5334228501911,98.05390097335652
69,0.26,0.53,0.83,-1.0,219.87027545481982,84.09353727964476
72,0.24,0.8,0.36,-1.0,158.81460144721282,65.89922167110052
73,0.16,0.63,0.76,-1.0,271.3569166429456,151.76397197539586
75,0.19,0.55,0.52,-1.0,277.3604147323702,127.57073410940718
76,0.12,0.31,1.0,-1.0,263.63251718064834,104.0514639715266
77,0.22,0.97,0.18,-1.0,216.46893758704522,73.76926710768421
79,0.18,0.52,0.0,-1.0,354.38784535751967,125.91057480273966
80,0.03,1.5,0.0,-1.0,385.6714021149128,114.0979668495554
81,0.01,0.78,0.0,-1.0,256.89033753462036,132.13981385398557
83,0.96,0.36,0.88,-1.0,329.3633945770744,118.7166417156088
86,0.18,1.28,0.02,-1.0,475.52054487023025,108.32324020806227
88,0.43,0.78,0.67,-1.0,249.85273571507287,75.41689045390923
89,0.08,0.52,1.0,-1.0,326.2663184758448,99.23182656939109
90,0.08,1.02,0.0,-1.0,323.4182708742402,96.88406739743127
91,0.6,0.32,0.96,-1.0,182.71206610097653,45.94118429414658
92,0.01,1.04,0.02,-1.0,204.19307134855438,130.6413737178757
93,0.08,0.1,1.0,-1.0,413.811217166242,87.50915846823969
96,0.24,0.4,0.71,-1.0,267.3328036825037,122.95695955784775
121,0.17,0.67,0.97,-1.0,235.3929620806293,61.18300789219768
128,0.33,0.72,0.99,-1.0,308.7982002645998,81.05614119293803
135,0.19,0.57,0.99,-1.0,256.967143817053,88.24836924704931
136,0.12,0.72,1.0,-1.0,305.5768386202156,91.10777570342863
139,0.69,0.67,0.82,-1.0,100.966416736031,34.169367629011326
149,0.4,0.88,0.57,-1.0,223.83078668859122,98.66453259209781
156,0.38,0.4,0.88,-1.0,228.82580027984253,98.5992838011267
159,0.12,0.76,0.68,-1.0,216.73187802880884,103.44548703168597
162,0.09,0.99,0.0,-1.0,246.22045790166518,78.87739508028176
183,0.22,0.68,1.0,-1.0,299.88220897862413,134.39566003410872
186,0.19,0.83,0.0,-1.0,472.0821428459816,140.19349836265164
191,0.75,0.76,0.01,-1.0,183.06668663408897,118.67134471764919
197,0.19,1.44,0.12,-1.0,385.774625275159,137.5026486889931
199,0.52,0.12,0.99,-1.0,221.6234363150876,87.65421223087542
200,0.14,0.36,0.66,-1.0,311.42350364713263,86.46956468561183
202,0.25,0.94,0.21,-1.0,228.5550874201012,172.12721299006972
94,0.32,0.68,0.83,-1.0,193.04213139916965,110.4221310111852
95,0.15,0.39,0.0,-1.0,330.4035620073014,94.66413333465196
97,0.14,0.42,0.66,-1.0,283.34472717848047,101.1020683881882
98,0.56,1.23,0.69,-1.0,217.65487523118404,34.770112588345164
99,0.25,0.17,1.0,-1.0,235.03170382110454,83.9811919347752
100,0.15,0.56,0.16,-1.0,255.32628142368145,79.76819454170337
101,0.48,1.44,0.33,-1.0,170.90956773738,64.46720855093606
102,1.0,0.25,0.78,-1.0,329.1005457549897,116.84217842999044
103,0.12,0.54,0.28,-1.0,246.78167639991636,64.31204793081722
104,0.15,1.02,0.1,-1.0,251.02882498456808,124.79949493175413
105,0.28,0.79,0.87,-1.0,213.98512734758268,70.04641149098008
106,0.28,0.45,0.97,-1.0,258.4057316605923,81.63135709506234
107,0.18,0.44,1.0,-1.0,220.43603077318843,66.93898918540265
108,0.32,0.96,0.38,-1.0,410.6772432546552,121.92970298364743
110,0.08,0.8,0.88,-1.0,253.34993946993603,138.84004924728416
111,0.58,1.16,0.7,-1.0,184.31809681068907,50.60556336865158
112,0.01,0.84,0.0,-1.0,248.9822215349753,93.03484261399069
113,0.01,0.8,0.0,-1.0,270.7779785120168,92.8740718505421
114,0.26,0.48,0.58,-1.0,194.95676750988457,76.31735042492039
115,0.27,1.2,0.0,-1.0,248.81775598497637,51.485050849975096
116,0.12,0.95,0.07,-1.0,289.7551666927141,75.82792026423417
117,0.46,0.76,0.74,-1.0,160.6867307326509,68.15272498187265
