trial,subID,sim_choice,sim_attack,k
1,0,"[9, 8, 7, 6, 7, 7, 8, 5, 7, 6]","[1, 1, 0, 0, 0, 0, 0, 1, 1, 0]",1
1,1,"[7, 7, 8, 7, 8, 5, 7, 8, 7, 7]","[0, 1, 1, 1, 0, 0, 1, 0, 0, 0]",1
1,2,"[2, 4, 4, 4, 5, 5, 4, 2, 4, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,3,"[7, 4, 5, 5, 3, 4, 5, 4, 6, 7]","[0, 0, 1, 0, 0, 0, 0, 1, 0, 1]",1
1,4,"[2, 2, 5, 2, 3, 1, 6, 3, 4, 3]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",1
1,5,"[3, 1, 2, 6, 4, 1, 4, 3, 2, 3]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",1
1,6,"[3, 7, 4, 7, 6, 4, 4, 4, 6, 1]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,7,"[7, 7, 5, 7, 8, 8, 6, 6, 8, 7]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,8,"[3, 4, 5, 5, 1, 3, 1, 1, 4, 1]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,9,"[4, 4, 2, 1, 6, 3, 6, 3, 5, 2]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,10,"[4, 6, 6, 5, 6, 5, 8, 6, 3, 4]","[0, 1, 1, 0, 1, 0, 1, 1, 0, 0]",1
1,11,"[4, 3, 2, 4, 3, 3, 5, 4, 8, 5]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,12,"[4, 7, 8, 7, 6, 7, 6, 7, 6, 7]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",1
1,13,"[1, 6, 2, 4, 2, 5, 1, 4, 4, 5]","[0, 0, 0, 0, 0, 1, 0, 0, 1, 0]",1
1,14,"[3, 5, 3, 5, 5, 4, 5, 5, 8, 3]","[0, 0, 0, 1, 0, 1, 0, 0, 1, 0]",1
1,15,"[5, 6, 4, 4, 5, 3, 4, 5, 5, 5]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,16,"[7, 6, 6, 8, 8, 7, 5, 7, 8, 6]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 0]",1
1,17,"[5, 2, 4, 5, 5, 4, 4, 2, 6, 5]","[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",1
1,18,"[8, 7, 6, 8, 8, 8, 7, 7, 7, 6]","[0, 0, 0, 0, 1, 0, 0, 1, 0, 1]",1
1,19,"[2, 7, 1, 1, 5, 2, 1, 2, 2, 1]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",1
1,20,"[5, 4, 4, 8, 2, 2, 4, 5, 5, 5]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1
1,21,"[5, 7, 7, 7, 6, 7, 7, 7, 7, 8]","[0, 1, 0, 1, 0, 0, 1, 0, 0, 0]",1
1,22,"[1, 1, 1, 4, 1, 2, 4, 7, 3, 3]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",1
1,23,"[1, 5, 1, 3, 5, 2, 3, 2, 3, 5]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,24,"[3, 2, 2, 3, 4, 3, 4, 6, 4, 5]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",1
1,25,"[5, 7, 5, 8, 6, 5, 7, 7, 4, 7]","[1, 1, 1, 1, 1, 0, 1, 1, 0, 1]",1
1,26,"[9, 7, 6, 7, 7, 6, 7, 8, 7, 7]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,27,"[1, 1, 4, 3, 1, 6, 6, 3, 5, 5]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",1
1,28,"[6, 1, 3, 5, 5, 5, 5, 4, 4, 1]","[1, 0, 1, 0, 0, 0, 0, 0, 0, 0]",1
1,29,"[7, 7, 5, 7, 6, 7, 6, 8, 6, 8]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",1
1,30,"[3, 4, 4, 2, 7, 6, 6, 4, 6, 3]","[0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",1
1,31,"[5, 4, 3, 2, 7, 4, 4, 6, 4, 2]","[1, 1, 0, 0, 1, 0, 0, 1, 1, 0]",1
1,32,"[5, 1, 5, 1, 1, 5, 4, 5, 5, 3]","[1, 0, 1, 0, 0, 1, 0, 1, 0, 0]",1
1,33,"[5, 1, 1, 1, 2, 2, 1, 5, 3, 7]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 1]",1
