subID,alpha,theta,gamma,w,nll_idv,nll_grp
82,0.28,0.41,0.99,-0.01,246.65168400274808,104.97562524481191
27,0.27,0.37,0.98,0.12,259.3158679978962,66.43323057809417
28,0.48,0.68,0.87,-0.32,149.51243485722398,56.80125924084572
29,0.1,1.08,0.0,1.0,214.079245864608,74.50782205753129
33,0.68,0.17,0.87,0.0,187.61204557686585,94.9908271281743
34,0.11,1.08,0.28,-0.53,114.02982992549575,96.016979834808
35,0.69,0.68,0.86,-0.13,99.14086709834014,47.35341783567495
36,0.08,0.94,0.06,0.05,310.26595211516747,130.26302284484208
37,0.56,0.52,0.97,-0.23,342.9431110060913,93.42110767851949
46,0.6,0.51,0.77,-0.28,265.63525943803586,73.32685013840475
62,0.02,1.5,0.0,1.0,447.2116567525357,124.58994154860223
70,0.13,0.95,0.1,-0.11,198.519011806419,50.655335176297996
71,0.11,0.91,0.4,-0.37,178.69975178521895,75.09827368568494
74,0.45,0.17,0.63,0.26,192.96877270555134,87.77235631046402
78,0.0,0.68,0.0,0.13,328.8739084977919,97.84629718054195
84,0.25,0.64,0.4,-1.0,199.9168119003763,81.21515535906191
85,0.71,1.06,0.36,-0.04,235.58329811425864,110.12943195352003
87,0.02,0.64,0.0,-0.32,248.99317781712514,81.02020938170584
0,0.0,1.46,0.0,-0.7,422.33001328003814,149.728111699745
1,0.33,1.5,0.48,-0.64,146.279264656207,63.548367198326375
2,0.47,0.56,0.0,-0.08,193.31279120544662,119.04089187291969
3,0.14,0.79,0.86,-0.08,260.03850302308285,87.92777569524674
13,0.14,0.65,0.86,-0.24,267.51909061069216,91.62434549462537
4,0.22,0.37,0.98,0.0,219.24738554477088,85.32712761278715
5,0.86,0.39,0.86,0.0,234.183653716091,92.59361535966316
6,0.1,0.71,0.71,-0.32,347.5128972337652,126.1883761760647
7,0.14,1.39,0.48,-0.4,182.39731190213047,51.56670467505418
8,0.52,0.18,0.98,0.09,209.9534373995999,70.52575674802661
9,0.19,0.56,0.76,-0.32,244.90203105682446,79.55252554211414
10,0.74,0.8,0.59,-0.17,190.89599205608974,63.20276594427979
11,0.19,0.67,0.88,-0.2,270.77534838087814,83.83183269347685
12,0.44,1.48,0.56,-0.44,149.02507197015828,44.58179422692458
14,0.52,0.6,0.86,-0.32,277.1492784161106,94.14296614965959
15,0.13,1.02,0.08,-0.73,112.10421830437433,73.99359872823733
16,0.01,1.5,0.02,-0.64,251.57054637198362,110.18770020681785
17,0.43,0.76,0.86,-0.14,307.50032362218974,96.05503762794363
18,0.61,1.43,0.4,-1.0,216.5368491937655,139.9334844061733
19,0.16,0.05,1.0,0.22,221.63131891100093,87.01091637838528
20,0.09,0.71,0.68,-0.17,245.67254775438863,84.82645729410473
21,0.08,1.32,0.0,-0.32,244.25948965212365,93.52156079437292
22,0.18,0.57,0.49,-0.21,253.15647780455345,63.1153710839007
23,0.28,0.31,1.0,-0.07,210.96120616652092,89.40827275622195
24,0.0,0.65,0.0,-0.09,278.8738978485366,108.65331395550001
25,0.18,1.12,0.84,-0.33,298.50278706136584,101.23109909513062
26,0.09,1.5,0.82,1.0,276.33879126954196,77.80638120079476
30,0.19,0.32,0.87,0.51,172.31779975231697,89.16194175441073
31,0.38,0.52,0.98,-0.07,234.87944696196726,88.01682793886931
32,0.59,0.48,0.87,0.05,171.7791198760314,81.44233771468662
38,0.32,0.28,1.0,0.05,276.640180954057,62.84007148049024
39,0.4,0.21,0.16,-1.0,153.23188971488145,67.17091738567339
40,0.17,0.28,0.56,-0.04,281.7157598190766,77.70199063794705
41,0.0,0.73,0.0,-0.08,264.0665019558214,92.8885730093672
42,0.55,0.25,0.83,0.13,204.97920808505623,64.34410396689456
43,0.11,0.44,0.58,0.06,764.9824543778146,91.220519840506
44,0.75,0.68,0.81,-0.12,179.0499768859466,78.64935052882939
45,0.49,0.72,0.83,-0.35,198.8179693092914,83.71651048558701
47,0.36,1.32,0.67,0.02,148.1186549147203,41.794103543171325
48,0.22,0.68,0.87,-0.08,252.27940766096665,74.11805180548662
49,0.08,0.67,0.1,-0.08,290.6328943345247,82.69875975295949
50,0.13,1.08,0.44,0.01,173.76147753139128,40.49791800997985
51,0.52,0.44,0.95,-0.08,226.17170240966163,72.44327998684851
52,0.04,0.37,0.0,-0.22,280.44817322939963,84.40166749093133
53,0.14,0.91,0.06,-0.48,468.7179877138802,70.91498125022582
54,0.21,0.47,0.75,0.48,326.5440848631066,140.25086935159453
55,0.0,1.5,0.0,-0.62,284.75944867465023,81.45155507909297
56,0.0,0.82,0.0,-0.56,363.94469155851203,107.8055983966769
57,0.27,0.36,0.92,0.05,257.35159600726087,69.28446964202925
58,0.72,0.28,0.83,0.32,226.51911021551393,90.15865049600129
59,0.5,0.42,0.61,0.17,198.2744231284057,76.41375877805312
60,0.16,0.36,0.8,-0.12,231.5209056351709,87.74591681791951
61,0.72,0.16,0.98,0.07,153.76862550989162,34.05828914164614
63,0.19,0.37,0.32,0.43,206.87445212327484,85.01730583926269
64,0.02,1.44,0.0,-0.88,472.18596372400515,58.93518620141905
65,0.09,0.46,0.0,-0.02,208.88353611660426,78.08370297766173
66,0.13,0.45,1.0,0.07,237.3033225099911,80.01614746419085
67,0.24,0.1,0.93,0.2,271.16039662005807,84.84276162366363
68,0.15,0.49,1.0,-0.15,327.5815014311088,89.63583421922552
69,0.19,0.61,0.79,-0.17,219.1031501874188,82.2070892307415
72,0.56,0.88,0.78,-0.36,151.97869378038166,63.656474862836944
73,0.14,0.87,0.75,-0.72,238.98695423159924,90.1131411602867
75,0.2,0.47,0.6,0.56,276.12075185470746,111.88738887286615
76,0.12,0.38,1.0,-0.21,260.48653738030964,98.57553310261532
77,0.22,0.98,0.18,-0.03,216.45531010616907,73.68767386474245
79,0.2,0.48,0.0,0.08,354.3913608615296,126.28529934481803
80,0.02,1.5,0.0,-0.88,386.3024533748598,63.038634566172014
81,0.02,0.88,0.0,-0.44,244.04099382037901,109.1736083676047
83,0.88,0.56,0.88,-0.33,328.71178330919855,113.14507328483784
86,0.14,1.39,0.0,-0.52,474.0017632587734,84.83564933862768
88,0.47,0.71,0.64,0.52,248.88913297510626,67.82861620728113
89,0.08,0.48,1.0,0.08,325.70851693136177,99.01362466690766
90,0.09,0.95,0.0,0.48,316.75923433610126,81.61432433302421
91,0.48,0.45,0.95,-0.09,179.45190456200035,43.121861767610135
92,0.01,1.16,0.02,-0.4,197.0212941865885,103.18550460753278
93,0.08,0.18,1.0,-1.0,405.44661241963075,82.99908409393913
96,0.23,0.36,0.71,0.16,266.49860802454447,120.41491726860691
121,0.17,0.72,0.97,-0.29,233.49657048455325,49.615084134478174
128,0.34,0.72,0.98,0.04,309.23046836886954,80.38288490156411
135,0.2,0.61,0.99,-0.24,254.83873224869257,79.66431368135754
136,0.12,0.8,1.0,-0.17,300.61880135263243,85.90299173699489
139,0.69,0.66,0.82,0.03,100.85829293892621,34.009235878393646
149,0.38,0.82,0.58,0.19,223.4702141027722,97.36722230288655
156,0.27,0.41,0.97,-0.25,224.4805383697034,87.71365961351125
159,0.11,0.73,0.65,0.3,215.8553146271167,98.08781798267182
162,0.92,1.5,0.06,1.0,246.20483947111538,69.03664950079501
183,0.22,0.68,1.0,0.0,299.88220897862413,134.39566003410872
186,0.17,0.55,0.0,0.56,443.8097208573452,123.2442600043613
