,attack,selfBlame,jointMoney,partnerStep,playerStep,prediction,split_rt,step_rt,trial,room,block,playerID,confidence,predatorType,finalStep,player_partner_diff,subID
0,FALSE,0.25,32,4,3,4,8,5.069797039031982,1,1,1,0,70,1,4,-1,0
0,FALSE,0.5,32,3,4,4,2.8503997325897217,4.767198563,1,1,1,1,70,1,4,1,1
0,TRUE,0.75,-20,4,7,7,3.269599914550781,6.538897514343262,1,1,2,0,70,0,6,3,0
0,TRUE,0.25,-20,7,4,4,2.082900285720825,1.9498003721237185,1,1,2,1,70,0,6,-3,1
0,FALSE,0.75,32,3,4,4,2.0843000411987305,2.9524991512298584,2,1,1,0,70,1,4,1,0
0,FALSE,0.5,32,4,3,3,2.583399772644043,1.899900197982788,2,1,1,1,70,1,4,-1,1
0,FALSE,0.75,50,4,5,5,1.5682002305984497,2.1517999172210693,2,1,2,0,70,0,5,1,0
0,FALSE,0.5,50,5,4,4,1.0825002193450928,3.349999428,2,1,2,1,70,0,5,-1,1
0,FALSE,0.25,32,4,3,4,3.469699621200561,3.219598293304444,3,1,1,0,70,1,4,-1,0
0,FALSE,0.5,32,3,4,4,2.733299732208252,1.3996000289916992,3,1,1,1,70,1,4,1,1
0,FALSE,0.75,50,4,5,5,1.7513006925582886,1.8343998193740845,3,1,2,0,70,0,5,1,0
0,FALSE,0.5,50,5,4,4,1.0660001039505005,4.432500362,3,1,2,1,70,0,5,-1,1
0,TRUE,0.5,-20,4,4,4,3.352698802947998,2.8857996463775635,4,1,1,0,70,1,4,0,0
0,TRUE,0.5,-20,4,4,4,4.182097911834717,1.8333004713058472,4,1,1,1,70,1,4,0,1
0,FALSE,0.75,50,4,5,5,2.135499954223633,2.4686994552612305,4,1,2,0,70,0,5,1,0
0,FALSE,0.5,50,5,4,4,1.6008002758026123,1.983500480651856,4,1,2,1,70,0,5,-1,1
0,FALSE,0.25,32,4,3,3,3.089599370956421,1.7173004150390625,5,1,1,0,70,1,4,-1,0
0,FALSE,0.5,32,3,4,4,3.1000993251800537,2.3670995235443115,5,1,1,1,70,1,4,1,1
0,TRUE,0.75,-20,4,5,5,4.236299514770508,1.852200508117676,5,1,2,0,70,0,5,1,0
0,TRUE,0.25,-20,5,4,4,1.7334002256393433,4.649897575378418,5,1,2,1,70,0,5,-1,1
0,FALSE,0.5,32,4,4,4,2.317199230194092,3.336398363113404,6,1,1,0,70,1,4,0,0
0,FALSE,0.5,32,4,4,4,0.7832998633384705,1.1334999799728394,6,1,1,1,70,1,4,0,1
0,FALSE,0.75,50,4,5,4,2.785599708557129,2.719999551773072,6,1,2,0,70,0,5,1,0
0,FALSE,0.5,50,5,4,4,0.9170000553131104,2.066499948501587,6,1,2,1,70,0,5,-1,1
0,FALSE,0.5,32,4,4,4,2.668799638748169,1.968600034713745,7,1,1,0,70,1,4,0,0
0,FALSE,0.5,32,4,4,4,2.332399606704712,1.4001003503799438,7,1,1,1,70,1,4,0,1
0,FALSE,0.75,50,4,5,4,1.1848000288009644,2.6350998878479004,7,1,2,0,70,0,5,1,0
0,FALSE,0.5,50,5,4,5,2.000400543,1.6999995708465576,7,1,2,1,70,0,5,-1,1
0,FALSE,0.5,32,4,4,4,2.0015997886657715,1.6012001037597656,8,1,1,0,70,1,4,0,0
0,FALSE,0.5,32,4,4,4,0.9500001072883606,2.150699615478516,8,1,1,1,70,1,4,0,1
0,FALSE,0.75,50,4,5,4,1.951499938964844,1.8183997869491573,8,1,2,0,70,0,5,1,0
0,FALSE,0.5,50,5,4,5,1.7167001962661743,2.1334004402160645,8,1,2,1,70,0,5,-1,1
0,FALSE,0.75,32,3,4,4,2.217400074005127,2.2355000972747803,9,1,1,0,70,1,4,1,0
0,FALSE,0.5,32,4,3,4,1.6334998607635498,4.784400463104248,9,1,1,1,70,1,4,-1,1
0,TRUE,0.75,-20,4,5,4,3.286898374557495,1.8681000471115112,9,1,2,0,70,0,5,1,0
0,TRUE,0.5,-20,5,4,5,1.5666992664337158,1.8830997943878167,9,1,2,1,70,0,5,-1,1
0,FALSE,0.5,32,4,4,4,3.385699510574341,1.5668997764587402,10,1,1,0,70,1,4,0,0
0,FALSE,0.5,32,4,4,4,0.7170000672340393,2.033300399780273,10,1,1,1,70,1,4,0,1
0,FALSE,0.5,50,5,5,4,2.2513999938964844,3.103000402450561,10,1,2,0,70,0,5,0,0
0,FALSE,0.5,50,5,5,5,1.549100041389465,2.0839996337890625,10,1,2,1,70,0,5,0,1
0,FALSE,0.5,32,4,4,4,2.0685997009277344,1.0507001876831057,11,1,1,0,70,1,4,0,0
0,FALSE,0.5,32,4,4,4,0.8998001217842102,1.5504003763198853,11,1,1,1,70,1,4,0,1
0,FALSE,0.75,50,4,5,5,1.9181002378463743,2.284999370574951,11,1,2,0,70,0,5,1,0
0,FALSE,0.5,50,5,4,5,1.732399821281433,1.5834002494812012,11,1,2,1,70,0,5,-1,1
0,TRUE,0.5,-20,4,4,4,3.051899671554565,1.0181999206542969,12,1,1,0,70,1,4,0,0
0,TRUE,0.5,-20,4,4,4,0.9990999698638916,1.6673002243041992,12,1,1,1,70,1,4,0,1
0,FALSE,0.75,50,4,5,4,2.4024999141693115,1.6680995225906372,12,1,2,0,70,0,5,1,0
0,FALSE,0.5,50,5,4,4,1.7669000625610352,1.8673001527786253,12,1,2,1,70,0,5,-1,1
