attack,selfBlame,jointMoney,partnerStep,playerStep,predatorAttack,prediction,playerKeep,step_rt,trial,room,block,playerID,confidence,predatorType,finalStep,player_partner_diff,playerKeep2,payoff,subID
TRUE,0.5,-20,4,5,0,4,0.5,4.944396973,1,1,1,0,70,1,5,1,0.5,-10,0
TRUE,0.5,-20,5,4,0,4,0.5,4.195799350738525,1,1,1,1,50,1,5,-1,0.5,-10,1
TRUE,0.25,-20,5,4,0,5,0.75,1.8955988883972168,1,1,2,0,70,0,5,-1,0.25,-15,0
TRUE,0.5,-20,4,5,0,5,0.5,1.3986002206802368,1,1,2,1,50,0,5,1,0.5,-10,1
FALSE,0.5,50,3,6,0,6,0.5,3.270299196243286,2,1,1,0,70,1,5,3,0.5,25,0
FALSE,0.5,50,6,3,0,4,0.5,1.8484002351760864,2,1,1,1,50,1,5,-3,0.5,25,1
TRUE,0.25,-20,9,6,0,6,0.25,3.222201347351074,2,1,2,0,70,0,8,-3,0.75,-5,0
TRUE,0.5,-20,6,9,0,5,0.5,1.3147000074386597,2,1,2,1,50,0,8,3,0.5,-10,1
TRUE,0.5,-20,9,4,0,7,0.5,2.618201494216919,3,1,1,0,70,1,7,-5,0.5,-10,0
TRUE,0.75,-20,4,9,0,6,0.5,2.8964993953704834,3,1,1,1,50,1,7,5,0.5,-10,1
FALSE,0.75,18,4,1,0,7,1,0.9516006112098694,3,1,2,0,70,0,3,-3,1,18,0
FALSE,0.5,18,1,4,0,5,0.75,0.7989001274108887,3,1,2,1,50,0,3,3,0.75,14,1
FALSE,0.5,18,4,2,0,4,0.5,2.319700002670288,4,1,1,0,70,1,3,-2,0.5,9,0
FALSE,0.5,18,2,4,0,6,0.75,1.5150001049041748,4,1,1,1,50,1,3,2,0.75,14,1
TRUE,0.25,-20,4,6,0,6,0,2.256798744,4,1,2,0,70,0,5,2,1,0,0
TRUE,0.5,-20,6,4,0,4,0.5,1.8479002714157104,4,1,2,1,50,0,5,-2,0.5,-10,1
FALSE,0.75,50,4,5,0,6,0.5,3.284901857376098,5,1,1,0,70,1,5,1,0.5,25,0
FALSE,0.5,50,5,4,0,3,0.5,1.6145999431610107,5,1,1,1,50,1,5,-1,0.5,25,1
