,attack,attackProb,attackRange,choice,currProb,predatorType,reward,round,rt,totMoney,trial,subID
0,TRUE,4.800000190734863,7,8,0.9719999432563782,1,-10,1,10.631097793579102,-10,1,64
0,TRUE,2.5999999046325684,7,7,0.4160000085830688,0,-10,10,2.4561007022857666,143,10,64
0,TRUE,4.800000190734863,7,6,0.5879999995231628,1,-10,100,1.6212002038955688,1946,100,64
0,TRUE,2.5999999046325684,7,8,0.5264999270439148,0,-10,101,1.853100299835205,1936,101,64
0,FALSE,4.800000190734863,7,6,0.5879999995231628,1,36,102,1.3538000583648682,1972,102,64
0,FALSE,2.5999999046325684,7,8,0.5264999270439148,0,64,103,1.687999963760376,2036,103,64
0,FALSE,4.800000190734863,7,5,0.4320000410079956,1,25,104,1.4880000352859497,2061,104,64
0,TRUE,2.5999999046325684,7,6,0.3184999823570251,0,-10,105,1.6216000318527222,2051,105,64
0,TRUE,4.800000190734863,7,5,0.4320000410079956,1,-10,106,1.5213003158569336,2041,106,64
0,TRUE,2.5999999046325684,7,9,0.6499999761581421,0,-10,107,1.988300085067749,2031,107,64
0,FALSE,2.5999999046325684,7,8,0.5264999270439148,0,64,108,1.6878001689910889,2095,108,64
0,FALSE,4.800000190734863,7,5,0.4320000410079956,1,25,109,2.088399887084961,2120,109,64
0,TRUE,4.800000190734863,7,7,0.768000066,1,-10,11,2.6541006565093994,133,11,64
0,TRUE,2.5999999046325684,7,8,0.5264999270439148,0,-10,110,1.9214003086090088,2110,110,64
0,TRUE,4.800000190734863,7,6,0.5879999995231628,1,-10,111,1.955199956893921,2100,111,64
0,TRUE,2.5999999046325684,7,7,0.4160000085830688,0,-10,112,1.8215997219085691,2090,112,64
0,TRUE,4.800000190734863,7,6,0.5879999995231628,1,-10,113,1.6216002702713013,2080,113,64
0,TRUE,2.5999999046325684,7,7,0.4160000085830688,0,-10,114,1.555000066757202,2070,114,64
0,TRUE,4.800000190734863,7,6,0.5879999995231628,1,-10,115,1.587700366973877,2060,115,64
0,TRUE,4.800000190734863,7,7,0.768000066,1,-10,116,1.8551002740859983,2050,116,64
0,FALSE,4.800000190734863,7,5,0.4320000410079956,1,25,117,1.4542999267578125,2075,117,64
0,FALSE,4.800000190734863,7,5,0.4320000410079956,1,25,118,1.3210999965667725,2100,118,64
0,FALSE,2.5999999046325684,7,7,0.4160000085830688,0,49,119,2.2224998474121094,2149,119,64
0,FALSE,2.5999999046325684,7,7,0.4160000085830688,0,49,12,2.3559999465942383,182,12,64
0,TRUE,4.800000190734863,7,7,0.768000066,1,-10,120,3.4915995597839355,2139,120,64
0,TRUE,4.800000190734863,7,7,0.768000066,1,-10,13,2.2877004146575928,172,13,64
0,TRUE,2.5999999046325684,7,8,0.5264999270439148,0,-10,14,2.7213003635406494,162,14,64
0,FALSE,2.5999999046325684,7,8,0.5264999270439148,0,64,15,2.3887007236480717,226,15,64
0,FALSE,4.800000190734863,7,6,0.5879999995231628,1,36,16,1.8887001276016235,262,16,64
0,TRUE,4.800000190734863,7,6,0.5879999995231628,1,-10,17,2.088200092315674,252,17,64
0,FALSE,2.5999999046325684,7,8,0.5264999270439148,0,64,18,2.2887001037597656,316,18,64
0,FALSE,2.5999999046325684,7,7,0.4160000085830688,0,49,19,1.955100417137146,365,19,64
0,TRUE,2.5999999046325684,7,8,0.5264999270439148,0,-10,2,3.725199460983277,-20,2,64
0,TRUE,4.800000190734863,7,6,0.5879999995231628,1,-10,20,1.6547999382019043,355,20,64
0,TRUE,2.5999999046325684,7,8,0.5264999270439148,0,-10,21,2.9225997924804688,345,21,64
0,FALSE,2.5999999046325684,7,7,0.4160000085830688,0,49,22,2.355599880218506,394,22,64
0,TRUE,2.5999999046325684,7,7,0.4160000085830688,0,-10,23,2.789299964904785,384,23,64
0,FALSE,4.800000190734863,7,6,0.5879999995231628,1,36,24,2.191200256347656,420,24,64
0,FALSE,4.800000190734863,7,6,0.5879999995231628,1,36,25,1.9219001531600952,456,25,64
