,ptn_rating,svo_value,svo_type,utility,trait,ius_score,subID
0,7,45,prosocial,10,34,33,264
1,6,37.48241142771847,prosocial,inf,53,62,262
2,3,37.48241142771847,prosocial,inf,56,87,263
3,5,37.48241142771847,prosocial,18,30,50,261
4,8,35.01153510908234,prosocial,22,67,128,269
5,7,37.48241142771847,prosocial,20,23,33,270
6,6,19.426654216669544,individualistic,inf,21,28,265
7,7,33.033787185114626,prosocial,18,44,71,273
8,9,34.88795968908739,prosocial,,49,89,268
9,7,37.48241142771847,prosocial,30,40,64,271
10,8,26.976503921069718,prosocial,inf,45,85,266
11,8,-7.815293547,competitive,20,47,61,274
12,3,36.44444175658712,prosocial,20,62,85,275
13,8,37.48241142771847,prosocial,20,49,86,272
14,8,45,prosocial,26,65,105,267
15,8,28.528049396275176,prosocial,22,48,85,276
16,2,33.95501721899765,prosocial,26,71,103,277
17,3,37.48241142771847,prosocial,inf,43,69,280
18,7,33.033787185114626,prosocial,18,50,96,282
19,3,29.50699983069308,prosocial,inf,31,59,278
20,10,33.56087771219283,prosocial,26,27,38,287
21,10,35.01153510908234,prosocial,inf,36,71,279
22,9,24.874153914127636,prosocial,24,48,69,281
23,7,35.01153510908234,prosocial,22,59,108,289
24,8,40.03025927,prosocial,30,44,64,283
25,7,23.39254976,prosocial,inf,52,44,284
26,7,37.48241142771847,prosocial,10,47,53,285
27,5,45,prosocial,30,47,81,292
28,4,28.610459665965216,prosocial,20,68,105,291
29,3,8.163945102,competitive,inf,52,47,286
30,1,37.48241142771847,prosocial,20,50,103,
31,8,33.033787185114626,prosocial,18,46,69,290
32,5,30.718904264029177,prosocial,22,28,37,293
33,10,29.228051943145136,prosocial,22,40,64,296
34,4,45,prosocial,,48,79,294
35,5,37.48241142771847,prosocial,20,67,76,301
36,9,20.69066851393308,individualistic,26,52,92,288
37,8,53.365886124032585,prosocial,inf,62,78,299
38,7,23.39254976,prosocial,,42,60,297
39,2,45,prosocial,20,48,76,
40,9,37.48241142771847,prosocial,26,37,71,305
41,5,24.18951415,prosocial,18,49,60,295
42,8,37.48241142771847,prosocial,30,45,76,302
43,7,29.127160978206053,prosocial,22,35,54,304
44,3,15.47525508916384,individualistic,30,52,75,306
45,4,17.61257784292383,individualistic,18,31,62,298
46,6,23.838740183171726,prosocial,inf,59,103,
47,9,33.06184950549517,prosocial,16,55,73,
48,7,16.260204708311957,individualistic,20,70,109,
49,7,45,prosocial,10,44,61,87
50,6,37.48241142771847,prosocial,inf,60,86,
51,8,37.48241142771847,prosocial,inf,52,67,96
52,10,37.48241142771847,prosocial,18,34,31,94
53,10,35.01153510908234,prosocial,22,54,108,90
54,9,37.48241142771847,prosocial,20,46,45,93
55,6,19.426654216669544,individualistic,inf,51,81,85
56,6,33.033787185114626,prosocial,18,48,75,98
57,10,34.88795968908739,prosocial,,23,39,88
58,10,37.48241142771847,prosocial,30,38,41,95
59,10,26.976503921069718,prosocial,inf,41,39,100
60,8,-7.815293547,competitive,20,59,77,99
61,10,36.44444175658712,prosocial,20,32,39,106
62,9,37.48241142771847,prosocial,20,54,103,102
63,6,45,prosocial,26,36,53,105
64,8,28.528049396275176,prosocial,22,43,35,101
65,8,33.95501721899765,prosocial,26,53,87,97
66,7,37.48241142771847,prosocial,inf,77,131,86
67,1,33.033787185114626,prosocial,18,49,85,92
68,5,29.50699983069308,prosocial,inf,39,87,114
69,8,33.56087771219283,prosocial,26,46,47,109
70,5,35.01153510908234,prosocial,inf,54,66,107
71,8,24.874153914127636,prosocial,24,58,85,108
72,6,35.01153510908234,prosocial,22,46,48,113
73,8,40.03025927,prosocial,30,51,79,111
74,7,23.39254976,prosocial,inf,44,71,104
75,10,37.48241142771847,prosocial,10,38,57,110
76,1,45,prosocial,30,63,85,115
77,10,28.610459665965216,prosocial,20,65,93,112
78,8,8.163945102,competitive,inf,41,69,126
79,7,37.48241142771847,prosocial,20,46,76,119
80,5,33.033787185114626,prosocial,18,66,89,125
81,10,30.718904264029177,prosocial,22,20,59,124
82,8,29.228051943145136,prosocial,22,48,54,120
83,3,45,prosocial,,56,91,123
84,1,37.48241142771847,prosocial,20,59,117,116
85,5,20.69066851393308,individualistic,26,61,103,130
86,6,53.365886124032585,prosocial,inf,42,70,131
87,8,45,prosocial,20,45,45,129
88,6,37.48241142771847,prosocial,26,39,64,133
89,10,24.18951415,prosocial,18,22,63,135
90,10,37.48241142771847,prosocial,30,30,83,134
91,5,29.127160978206053,prosocial,22,26,44,128
92,10,15.47525508916384,individualistic,30,40,68,132
93,8,17.61257784292383,individualistic,18,25,36,136
94,9,23.838740183171726,prosocial,inf,55,69,139
95,8,33.06184950549517,prosocial,16,29,46,117
96,10,35.01153510908234,prosocial,26,29,58,137
97,7,16.260204708311957,individualistic,20,35,35,138
98,8,37.48241142771847,prosocial,30,68,103,146
99,7,37.48241142771847,prosocial,22,39,95,144
100,10,33.75960120484458,prosocial,inf,33,56,145
101,10,35.01153510908234,prosocial,20,27,66,143
102,9,7.815293546766881,competitive,20,23,27,142
103,10,14.743562836470737,individualistic,20,55,55,147
104,4,37.48241142771847,prosocial,20,71,94,150
105,9,20.69066851393308,individualistic,16,54,109,152
106,10,28.51387213,prosocial,20,47,92,154
107,8,22.109448343751684,individualistic,28,48,65,148
108,10,35.91672830955151,prosocial,26,33,49,149
109,6,7.815293546766881,competitive,30,39,49,140
110,4,35.01153510908234,prosocial,20,51,89,155
111,6,35.01153510908234,prosocial,16,58,100,141
112,10,7.815293546766881,competitive,inf,45,93,157
113,10,29.384157125951287,prosocial,,40,50,153
114,5,24.605123917951616,prosocial,18,62,96,167
115,8,35.01153510908234,prosocial,24,53,57,166
116,8,37.48241142771847,prosocial,28,39,55,156
117,4,37.48241142771847,prosocial,22,32,45,163
118,6,23.39254976,prosocial,20,35,56,160
119,9,18.809425709644835,individualistic,20,70,110,158
120,10,35.01153510908234,prosocial,inf,52,122,170
121,3,12.110597767654417,individualistic,10,63,98,168
122,4,35.01153510908234,prosocial,26,37,62,159
123,8,35.01153510908234,prosocial,24,48,91,165
124,10,-3.814074834,competitive,26,46,76,161
125,3,37.01361585490981,prosocial,10,54,49,164
126,7,35.01153510908234,prosocial,20,45,67,118
127,7,17.52556837372287,individualistic,24,63,93,
128,8,33.407824589708945,prosocial,20,44,89,
129,7,45,prosocial,10,52,86,1
130,2,37.48241142771847,prosocial,inf,40,40,3
131,7,37.48241142771847,prosocial,inf,41,72,
132,7,37.48241142771847,prosocial,18,45,103,5
133,4,35.01153510908234,prosocial,22,38,68,0
134,7,37.48241142771847,prosocial,20,41,94,11
135,6,19.426654216669544,individualistic,inf,48,81,
136,6,33.033787185114626,prosocial,18,35,53,10
137,1,34.88795968908739,prosocial,,51,84,6
138,7,37.48241142771847,prosocial,30,45,65,13
139,3,26.976503921069718,prosocial,inf,36,38,7
140,10,-7.815293547,competitive,20,20,32,2
141,9,36.44444175658712,prosocial,20,57,90,9
142,2,37.48241142771847,prosocial,20,65,81,14
143,6,45,prosocial,26,30,47,4
144,8,28.528049396275176,prosocial,22,55,76,8
145,4,33.95501721899765,prosocial,26,37,42,12
146,6,37.48241142771847,prosocial,inf,48,65,15
147,9,33.033787185114626,prosocial,18,70,110,16
148,7,29.50699983069308,prosocial,inf,50,89,17
149,7,33.56087771219283,prosocial,26,66,83,19
150,2,35.01153510908234,prosocial,inf,24,47,18
151,9,35.01153510908234,prosocial,22,44,69,23
152,3,40.03025927,prosocial,30,50,80,31
153,10,23.39254976,prosocial,inf,39,38,27
154,7,37.48241142771847,prosocial,10,47,90,24
155,9,45,prosocial,30,52,84,22
156,10,28.610459665965216,prosocial,20,50,65,30
157,8,8.163945102,competitive,inf,48,61,29
158,8,37.48241142771847,prosocial,20,43,84,37
159,6,33.033787185114626,prosocial,18,20,34,36
160,8,30.718904264029177,prosocial,22,26,49,33
161,5,29.228051943145136,prosocial,22,59,78,34
162,7,45,prosocial,,26,36,26
163,4,37.48241142771847,prosocial,20,49,87,44
164,0,20.69066851393308,individualistic,26,46,83,40
165,9,53.365886124032585,prosocial,inf,33,44,39
166,9,23.39254976,prosocial,,42,87,20
167,7,45,prosocial,20,46,90,28
168,6,37.48241142771847,prosocial,26,36,63,32
169,6,24.18951415,prosocial,18,41,63,47
170,8,37.48241142771847,prosocial,30,38,66,35
171,2,29.127160978206053,prosocial,22,50,33,41
172,3,15.47525508916384,individualistic,30,46,80,25
173,3,17.61257784292383,individualistic,18,58,82,48
174,10,23.838740183171726,prosocial,inf,36,66,49
175,5,33.06184950549517,prosocial,16,51,60,45
176,5,35.01153510908234,prosocial,26,68,116,
177,9,16.260204708311957,individualistic,20,47,63,56
178,9,37.48241142771847,prosocial,30,54,50,50
179,7,37.48241142771847,prosocial,22,37,53,46
180,10,33.75960120484458,prosocial,inf,27,63,55
181,6,35.01153510908234,prosocial,20,56,93,57
182,4,7.815293546766881,competitive,20,47,50,43
183,4,14.743562836470737,individualistic,20,39,55,51
184,7,37.48241142771847,prosocial,20,34,72,54
185,2,20.69066851393308,individualistic,16,49,81,
186,6,28.51387213,prosocial,20,51,105,
187,9,22.109448343751684,individualistic,28,44,52,38
188,9,35.91672830955151,prosocial,26,27,27,58
189,7,7.815293546766881,competitive,30,44,77,59
190,8,35.01153510908234,prosocial,20,51,52,63
191,4,35.01153510908234,prosocial,16,65,105,62
192,6,7.815293546766881,competitive,inf,42,88,60
193,8,29.384157125951287,prosocial,,65,106,64
194,8,24.605123917951616,prosocial,18,51,73,65
195,9,35.01153510908234,prosocial,24,48,90,66
196,10,37.48241142771847,prosocial,28,41,55,53
197,8,37.48241142771847,prosocial,22,70,99,67
198,0,23.39254976,prosocial,20,23,51,73
199,8,18.809425709644835,individualistic,20,32,60,74
200,0,35.01153510908234,prosocial,20,45,52,70
201,8,35.01153510908234,prosocial,inf,58,112,69
202,5,12.110597767654417,individualistic,10,25,41,71
203,7,35.01153510908234,prosocial,26,26,46,72
204,4,35.01153510908234,prosocial,24,46,93,76
205,9,-3.814074834,competitive,26,37,45,61
206,0,37.01361585490981,prosocial,10,34,39,79
207,6,37.48241142771847,prosocial,30,26,28,77
208,9,35.01153510908234,prosocial,20,23,43,75
209,9,17.52556837372287,individualistic,24,41,66,82
210,2,33.407824589708945,prosocial,20,53,93,81
211,7,29.50699983069308,prosocial,20,53,59,83
212,7,35.01153510908234,prosocial,22,62,81,84
213,3,33.95501721899765,prosocial,inf,45,84,
214,6,37.48241142771847,prosocial,inf,50,97,78
215,7,7.815293546766881,competitive,26,41,73,
216,10,45,prosocial,10,36,46,171
217,6,37.48241142771847,prosocial,inf,30,59,103
218,8,37.48241142771847,prosocial,18,53,71,172
219,6,35.01153510908234,prosocial,22,56,62,174
220,8,37.48241142771847,prosocial,20,49,85,175
221,2,19.426654216669544,individualistic,inf,47,85,177
222,7,33.033787185114626,prosocial,18,61,94,173
223,8,34.88795968908739,prosocial,,54,78,179
224,8,37.48241142771847,prosocial,30,47,91,178
225,5,26.976503921069718,prosocial,inf,54,85,181
226,8,-7.815293547,competitive,20,40,65,180
227,6,36.44444175658712,prosocial,20,42,64,184
228,7,37.48241142771847,prosocial,20,35,48,187
229,4,45,prosocial,26,53,60,192
230,8,28.528049396275176,prosocial,22,48,79,193
231,8,33.95501721899765,prosocial,26,43,75,182
232,7,37.48241142771847,prosocial,inf,41,76,189
233,6,33.033787185114626,prosocial,18,49,88,190
234,10,29.50699983069308,prosocial,inf,28,36,183
235,7,33.56087771219283,prosocial,26,50,69,197
236,7,35.01153510908234,prosocial,inf,45,73,194
237,10,24.874153914127636,prosocial,24,43,66,196
238,4,35.01153510908234,prosocial,22,44,81,198
239,8,40.03025927,prosocial,30,51,103,185
240,8,23.39254976,prosocial,inf,39,54,
241,10,37.48241142771847,prosocial,10,35,62,195
242,7,45,prosocial,30,57,74,202
243,10,28.610459665965216,prosocial,20,38,83,201
244,3,8.163945102,competitive,inf,43,78,204
245,7,37.48241142771847,prosocial,20,27,71,203
246,8,33.033787185114626,prosocial,18,46,59,199
247,8,30.718904264029177,prosocial,22,59,107,209
248,8,29.228051943145136,prosocial,22,38,78,186
249,10,45,prosocial,,35,46,205
250,9,37.48241142771847,prosocial,20,29,101,206
251,7,20.69066851393308,individualistic,26,54,92,213
252,8,53.365886124032585,prosocial,inf,64,78,200
253,5,23.39254976,prosocial,,49,81,
254,4,45,prosocial,20,47,77,207
255,4,37.48241142771847,prosocial,26,50,55,210
256,5,37.48241142771847,prosocial,30,52,102,211
257,5,29.127160978206053,prosocial,22,30,61,217
258,9,15.47525508916384,individualistic,30,56,55,216
259,7,17.61257784292383,individualistic,18,40,56,188
260,9,23.838740183171726,prosocial,inf,31,51,218
261,8,33.06184950549517,prosocial,16,37,75,221
262,8,35.01153510908234,prosocial,26,37,71,219
263,10,16.260204708311957,individualistic,20,29,42,220
264,8,37.48241142771847,prosocial,30,44,73,223
265,9,37.48241142771847,prosocial,22,73,104,222
266,3,33.75960120484458,prosocial,inf,59,64,225
267,8,35.01153510908234,prosocial,20,52,88,226
268,5,7.815293546766881,competitive,20,28,37,224
269,1,14.743562836470737,individualistic,20,49,27,231
270,9,37.48241142771847,prosocial,20,27,31,228
271,10,20.69066851393308,individualistic,16,31,44,215
272,8,28.51387213,prosocial,20,39,67,230
273,10,22.109448343751684,individualistic,28,52,78,229
274,8,35.91672830955151,prosocial,26,37,36,238
275,2,7.815293546766881,competitive,30,58,80,236
276,0,35.01153510908234,prosocial,20,33,73,235
277,10,35.01153510908234,prosocial,16,46,99,232
278,0,7.815293546766881,competitive,inf,32,42,240
279,7,29.384157125951287,prosocial,,26,44,243
280,7,24.605123917951616,prosocial,18,45,82,242
281,7,35.01153510908234,prosocial,24,50,65,239
282,9,37.48241142771847,prosocial,28,51,57,237
283,10,37.48241142771847,prosocial,22,25,51,233
284,10,23.39254976,prosocial,20,62,95,241
285,9,18.809425709644835,individualistic,20,31,43,247
286,2,35.01153510908234,prosocial,20,66,101,244
287,6,35.01153510908234,prosocial,inf,50,98,251
288,10,12.110597767654417,individualistic,10,43,97,234
289,10,35.01153510908234,prosocial,26,39,62,250
290,6,35.01153510908234,prosocial,24,53,68,252
291,3,-3.814074834,competitive,26,59,101,245
292,10,37.01361585490981,prosocial,10,38,87,253
293,10,37.48241142771847,prosocial,30,21,37,
294,8,35.01153510908234,prosocial,20,32,72,246
295,6,17.52556837372287,individualistic,24,38,59,212
296,5,33.407824589708945,prosocial,20,39,71,
297,9,29.50699983069308,prosocial,20,40,92,256
298,7,35.01153510908234,prosocial,22,49,71,255
299,7,33.95501721899765,prosocial,inf,58,99,257
300,9,37.48241142771847,prosocial,inf,35,73,258
301,8,7.815293546766881,competitive,26,46,59,260
302,7,3.366460663429804,competitive,inf,46,73,259
303,8,34.15265315704652,prosocial,20,77,121,214
304,8,29.50699983069308,prosocial,inf,29,48,
305,10,-1.720814834,competitive,20,26,98,
306,9,22.225030451113554,individualistic,20,28,81,
