,ptn_rating,svo_value,svo_type,utility,trait,ius_score,subID
0,2,37.48241142771847,prosocial,inf,47,93,9
1,7,37.48241142771847,prosocial,20,51,66,13
2,8,21.50143432404792,individualistic,inf,27,48,16
3,6,7.815293546766881,competitive,20,37,43,20
4,6,35.01153510908234,prosocial,24,37,51,21
5,3,37.48241142771847,prosocial,,52,76,1
6,7,7.815293546766881,competitive,28,56,88,0
7,10,37.48241142771847,prosocial,inf,46,81,2
8,9,7.815293546766881,competitive,20,50,72,6
9,5,35.01153510908234,prosocial,24,36,46,4
10,7,23.838740183171726,prosocial,28,30,98,12
11,7,28.610459665965216,prosocial,28,75,121,14
12,7,13.392497753751096,individualistic,20,57,70,11
13,9,42.41212149259469,prosocial,18,36,63,10
14,10,31.01106930374157,prosocial,10,51,80,5
15,8,21.12471914607249,individualistic,20,66,97,19
16,9,35.76170706870689,prosocial,22,40,87,18
17,7,23.045598141582623,prosocial,,30,43,15
18,4,37.48241142771847,prosocial,20,55,68,29
19,6,35.01153510908234,prosocial,inf,29,40,31
20,5,37.48241142771847,prosocial,24,22,49,26
21,8,45,prosocial,22,42,53,33
22,5,28.779806304397216,prosocial,inf,50,82,37
23,1,61.38954033403479,altruistic,inf,39,52,24
24,8,37.48241142771847,prosocial,20,52,91,27
25,6,37.48241142771847,prosocial,24,40,62,30
26,7,7.815293546766881,competitive,18,37,70,32
27,5,33.20275186927625,prosocial,22,39,48,36
28,8,7.532601400947367,competitive,20,27,33,22
29,7,45,prosocial,inf,39,68,44
30,10,15.47525508916384,individualistic,20,57,108,46
31,10,36.33261282004452,prosocial,20,24,33,45
32,2,22.109448343751684,individualistic,22,51,61,48
33,8,35.01153510908234,prosocial,26,35,81,55
34,8,37.48241142771847,prosocial,inf,39,92,54
35,3,7.815293546766881,competitive,22,29,66,67
36,9,-7.815293547,competitive,20,50,82,62
37,6,37.48241142771847,prosocial,20,44,75,63
38,10,35.01153510908234,prosocial,26,61,92,69
39,10,37.48241142771847,prosocial,26,36,64,68
40,8,12.824398102235154,individualistic,26,40,74,71
41,9,37.48241142771847,prosocial,16,40,65,73
42,10,27.758540601060027,prosocial,22,53,60,78
43,5,35.157077803207564,prosocial,22,53,64,74
44,10,45,prosocial,20,25,44,80
45,8,28.252836251520296,prosocial,20,43,105,76
46,7,22.20807617123169,individualistic,inf,50,78,77
47,2,7.815293546766881,competitive,inf,46,46,82
48,10,7.815293546766881,competitive,20,28,57,83
49,10,7.815293546766881,competitive,20,36,90,87
50,2,35.01153510908234,prosocial,26,31,96,85
51,7,35.01153510908234,prosocial,,44,80,93
52,3,7.815293546766881,competitive,22,42,61,94
53,10,37.48241142771847,prosocial,24,54,63,95
54,6,35.01153510908234,prosocial,22,74,108,90
55,6,45,prosocial,inf,46,61,41
56,10,35.01153510908234,prosocial,26,37,66,42
57,8,37.48241142771847,prosocial,20,38,70,58
58,8,35.01153510908234,prosocial,26,60,78,57
59,8,37.48241142771847,prosocial,26,51,65,47
60,2,12.824398102235154,individualistic,26,57,101,49
61,3,37.48241142771847,prosocial,16,64,88,56
62,10,27.758540601060027,prosocial,22,28,38,59
63,9,35.157077803207564,prosocial,22,39,43,60
64,6,28.252836251520296,prosocial,20,53,77,65
65,5,7.815293546766881,competitive,inf,49,59,64
66,9,35.01153510908234,prosocial,26,30,46,66
67,5,33.95501721899765,prosocial,26,59,113,81
68,7,35.01153510908234,prosocial,22,41,75,51
69,8,12.824398102235154,individualistic,26,29,40,86
70,10,37.48241142771847,prosocial,24,36,34,72
71,9,45,prosocial,24,38,54,88
72,0,7.815293546766881,competitive,inf,29,83,84
73,6,37.48241142771847,prosocial,20,44,95,75
74,3,37.48241142771847,prosocial,inf,54,72,97
75,10,43.36342295838328,prosocial,inf,51,42,91
76,7,22.94893728092328,prosocial,22,43,79,61
77,7,37.48241142771847,prosocial,inf,58,81,70
78,9,35.01153510908234,prosocial,18,52,100,53
79,9,53.365886124032585,prosocial,26,54,73,79
80,5,34.75097921624401,prosocial,14,45,102,50
81,8,32.66091272,prosocial,22,71,83,52
82,5,35.01153510908234,prosocial,24,67,98,89
83,5,37.06444962991119,prosocial,inf,37,59,100
84,0,-7.815293547,competitive,inf,73,129,109
85,0,7.815293546766881,competitive,22,52,60,108
86,9,35.01153510908234,prosocial,28,55,100,113
87,6,37.48241142771847,prosocial,20,63,71,110
88,6,7.532601400947367,competitive,inf,50,88,116
89,7,37.48241142771847,prosocial,26,41,40,112
90,5,35.01153510908234,prosocial,20,57,93,117
91,7,30.673758678336256,prosocial,30,76,123,114
92,9,26.97650392106972,prosocial,26,43,68,120
93,7,35.01153510908234,prosocial,20,41,57,123
94,6,-5.815626529,competitive,22,48,97,126
95,7,35.01153510908234,prosocial,20,52,78,124
96,9,35.01153510908234,prosocial,16,47,58,127
97,6,35.01153510908234,prosocial,22,34,77,129
98,7,32.158103715827835,prosocial,26,31,68,137
99,8,25.17096003704136,prosocial,10,56,99,134
100,8,37.48241142771847,prosocial,inf,56,72,136
101,9,35.01153510908234,prosocial,22,48,72,140
102,8,35.01153510908234,prosocial,24,45,94,128
103,10,45,prosocial,20,59,97,143
104,5,35.51043301061695,prosocial,22,67,106,148
105,8,45,prosocial,22,55,100,149
106,8,41.69813432556499,prosocial,inf,34,77,156
107,7,16.260204708311957,individualistic,26,50,97,155
108,6,28.705952543401093,prosocial,26,53,71,151
109,5,-7.815293547,competitive,10,48,27,159
110,9,37.48241142771847,prosocial,14,51,78,158
111,7,31.378602070784524,prosocial,14,42,57,162
112,7,8.763179126,competitive,20,20,36,160
113,7,29.43256844631617,prosocial,24,49,79,141
114,6,7.815293546766881,competitive,20,62,108,170
115,2,24.196252587791257,prosocial,inf,54,62,168
116,7,33.42075914728432,prosocial,30,52,92,164
117,7,37.48241142771847,prosocial,26,25,52,99
118,5,35.01153510908234,prosocial,28,42,33,103
119,10,7.532601400947367,competitive,inf,58,86,107
120,3,35.01153510908234,prosocial,20,58,102,115
121,6,35.01153510908234,prosocial,22,48,69,119
122,10,32.158103715827835,prosocial,26,74,71,118
123,8,25.17096003704136,prosocial,10,60,99,121
124,6,45,prosocial,20,67,107,125
125,4,45,prosocial,22,53,68,122
126,10,41.69813432556499,prosocial,inf,58,119,130
127,4,28.705952543401093,prosocial,26,36,42,133
128,10,-7.815293547,competitive,10,57,80,132
129,10,8.763179126,competitive,20,44,61,135
130,8,7.815293546766881,competitive,20,32,55,138
131,10,37.48241142771847,prosocial,30,36,69,142
132,6,32.158103715827835,prosocial,22,35,58,152
133,9,37.48241142771847,prosocial,28,34,61,145
134,8,35.01153510908234,prosocial,30,48,63,144
135,7,45.89238545874056,prosocial,24,65,112,147
136,9,37.48241142771847,prosocial,20,57,90,153
137,6,0,competitive,inf,49,97,154
138,5,28.705952543401093,prosocial,inf,48,27,139
139,9,37.48241142771847,prosocial,22,40,75,157
140,9,20.144762867063537,individualistic,,43,94,150
141,4,35.01153510908234,prosocial,,63,98,161
142,8,35.01153510908234,prosocial,20,60,77,163
143,7,36.44444175658712,prosocial,inf,32,86,167
144,7,7.815293546766881,competitive,30,49,64,166
145,10,35.01153510908234,prosocial,20,23,45,171
146,2,29.384157125951287,prosocial,20,28,57,169
147,8,35.01153510908234,prosocial,inf,39,84,165
148,9,31.05676907944634,prosocial,,55,107,146
149,6,29.16761337957779,prosocial,12,54,86,111
150,10,15.47525508916384,individualistic,22,44,61,174
151,10,29.43256844631617,prosocial,20,50,47,178
152,5,30.673758678336256,prosocial,30,73,130,183
153,7,16.260204708311957,individualistic,inf,47,63,182
154,10,-7.815293547,competitive,inf,25,41,189
155,8,7.815293546766881,competitive,inf,26,62,197
156,4,-14.26071158,competitive,inf,53,85,198
157,8,30.718904264029177,prosocial,28,56,72,202
158,7,0.4583564580004347,competitive,12,48,116,203
159,2,6.985610834421975,competitive,22,46,78,206
160,9,37.48241142771847,prosocial,20,38,82,200
161,6,28.610459665965216,prosocial,inf,47,61,210
162,9,30.23853223301426,prosocial,inf,31,45,212
163,5,7.815293546766881,competitive,24,37,78,208
164,1,0.4876118829249208,competitive,30,38,63,194
