,ptn_rating,svo_value,svo_type,utility,trait,ius_score,subID
0,7,37.48241142771847,prosocial,20,26,43,16
1,10,37.092837297041534,prosocial,inf,32,33,61
2,7,19.71203173817696,individualistic,20,47,60,46
3,9,35.01153510908234,prosocial,12,30,53,13
4,9,24.523476977117188,prosocial,20,33,56,50
5,3,35.01153510908234,prosocial,22,40,90,31
6,9,37.48241142771847,prosocial,20,62,75,77
7,7,28.51387213,prosocial,26,38,58,69
8,10,52.90716270295847,prosocial,30,55,81,66
9,8,37.092837297041534,prosocial,20,39,87,25
10,9,18.217095197824847,individualistic,20,60,96,45
11,9,37.01361585490981,prosocial,30,71,121,5
12,0,7.815293546766881,competitive,30,50,64,
13,10,35.01153510908234,prosocial,inf,40,83,39
14,7,35.01153510908234,prosocial,inf,22,52,
15,5,35.01153510908234,prosocial,20,21,33,26
16,10,30.518230678875238,prosocial,20,24,54,59
17,6,19.69505886886373,individualistic,12,48,90,15
18,10,34.496051115964406,prosocial,16,35,46,
19,9,7.815293546766881,competitive,16,47,94,7
20,8,31.62324717014856,prosocial,14,38,101,78
21,7,18.62466925374732,individualistic,14,48,55,86
22,3,32.158103715827835,prosocial,20,64,99,10
23,3,35.01153510908234,prosocial,30,58,85,37
24,7,37.48241142771847,prosocial,20,45,95,85
25,6,35.01153510908234,prosocial,10,44,67,11
26,3,31.01106930374157,prosocial,10,62,59,9
27,5,35.01153510908234,prosocial,22,22,70,34
28,10,35.01153510908234,prosocial,14,44,73,57
29,9,35.01153510908234,prosocial,20,38,80,88
30,6,19.35899417569472,individualistic,,23,43,80
31,9,37.48241142771847,prosocial,30,22,31,70
32,9,20.69066851393308,individualistic,30,32,43,54
33,10,3.179830119864232,competitive,26,31,92,55
34,8,26.97650392106972,prosocial,30,58,74,51
35,8,37.48241142771847,prosocial,30,63,100,17
36,7,36.44444175658712,prosocial,inf,38,52,20
37,9,34.35938029758941,prosocial,26,50,83,76
38,7,37.48241142771847,prosocial,20,38,54,92
39,10,45,prosocial,inf,48,93,12
40,6,37.85442542467041,prosocial,12,58,92,32
41,9,37.48241142771847,prosocial,22,57,58,24
42,9,37.48241142771847,prosocial,30,44,59,71
43,10,34.496051115964406,prosocial,inf,39,63,60
44,10,35.01153510908234,prosocial,20,62,75,48
45,10,36.60707481260751,prosocial,14,23,42,42
46,8,45,prosocial,24,42,51,21
47,8,35.01153510908234,prosocial,inf,32,54,8
48,4,35.20617264155244,prosocial,inf,41,89,83
49,10,37.48241142771847,prosocial,22,23,63,22
50,5,19.01809183701988,individualistic,28,29,27,
51,9,0,competitive,inf,55,70,41
52,5,41.308614013548734,prosocial,inf,26,49,
