,block,trial,room,subID,attack,selfBlame,jointMoney,partnerStep,playerStep,prediction,step_rt,predatorType,player_partner_diff,finalStep,playerID,confidence,partnerBlame,abs_pred_error,predator,outcome,abs_player_pred_diff,log_step_rt,partner_changed,partner_changed_rel,player_change,future_step_rt,player_change_rel
0,1,1,1,0,False,0.25,32,4,3,4,5.069797039031982,1,-1,4,0,70,0.5,0,dangerous,harvest,1,1.6233007850526842,,,1.0,2.9524991512298584,1.0
1,1,1,1,1,False,0.5,32,3,4,4,4.767198563,1,1,4,1,70,0.25,1,dangerous,harvest,0,1.5617588290157822,,,-1.0,1.899900197982788,1.0
4,1,2,1,0,False,0.75,32,3,4,4,2.9524991512298584,1,1,4,0,70,0.5,1,dangerous,harvest,0,1.08265198161427,-1.0,1.0,-1.0,3.219598293304444,1.0
5,1,2,1,1,False,0.5,32,4,3,3,1.899900197982788,1,-1,4,1,70,0.75,1,dangerous,harvest,0,0.6418013574153039,1.0,1.0,1.0,1.3996000289916992,1.0
8,1,3,1,0,False,0.25,32,4,3,4,3.219598293304444,1,-1,4,0,70,0.5,0,dangerous,harvest,1,1.169256598141775,1.0,1.0,1.0,2.8857996463775635,1.0
9,1,3,1,1,False,0.5,32,3,4,4,1.3996000289916992,1,1,4,1,70,0.25,1,dangerous,harvest,0,0.33618650222567065,-1.0,1.0,0.0,1.8333004713058472,-0.0
12,1,4,1,0,True,0.5,-20,4,4,4,2.8857996463775635,1,0,4,0,70,0.5,0,dangerous,captured,0,1.0598020353422222,0.0,-0.0,-1.0,1.7173004150390625,0.0
13,1,4,1,1,True,0.5,-20,4,4,4,1.8333004713058472,1,0,4,1,70,0.5,0,dangerous,captured,0,0.6061178786674003,1.0,1.0,0.0,2.3670995235443115,-0.0
16,1,5,1,0,False,0.25,32,4,3,3,1.7173004150390625,1,-1,4,0,70,0.5,1,dangerous,harvest,0,0.5407535316888139,0.0,0.0,1.0,3.336398363113404,1.0
17,1,5,1,1,False,0.5,32,3,4,4,2.3670995235443115,1,1,4,1,70,0.25,1,dangerous,harvest,0,0.8616653759277374,-1.0,-0.0,0.0,1.1334999799728394,-0.0
20,1,6,1,0,False,0.5,32,4,4,4,3.336398363113404,1,0,4,0,70,0.5,0,dangerous,harvest,0,1.2048918907705861,0.0,-0.0,0.0,1.968600034713745,-0.0
21,1,6,1,1,False,0.5,32,4,4,4,1.1334999799728394,1,0,4,1,70,0.5,0,dangerous,harvest,0,0.12531017329702068,1.0,1.0,0.0,1.4001003503799438,-0.0
24,1,7,1,0,False,0.5,32,4,4,4,1.968600034713745,1,0,4,0,70,0.5,0,dangerous,harvest,0,0.6773226478466956,0.0,0.0,0.0,1.6012001037597656,-0.0
25,1,7,1,1,False,0.5,32,4,4,4,1.4001003503799438,1,0,4,1,70,0.5,0,dangerous,harvest,0,0.33654391289522445,0.0,0.0,0.0,2.150699615478516,-0.0
28,1,8,1,0,False,0.5,32,4,4,4,1.6012001037597656,1,0,4,0,70,0.5,0,dangerous,harvest,0,0.470753412937532,0.0,0.0,0.0,2.2355000972747803,-0.0
29,1,8,1,1,False,0.5,32,4,4,4,2.150699615478516,1,0,4,1,70,0.5,0,dangerous,harvest,0,0.7657931917557917,0.0,0.0,-1.0,4.784400463104248,0.0
32,1,9,1,0,False,0.75,32,3,4,4,2.2355000972747803,1,1,4,0,70,0.5,1,dangerous,harvest,0,0.8044649602055544,-1.0,-0.0,0.0,1.5668997764587402,-0.0
33,1,9,1,1,False,0.5,32,4,3,4,4.784400463104248,1,-1,4,1,70,0.75,0,dangerous,harvest,1,1.565360721987802,0.0,0.0,1.0,2.033300399780273,1.0
36,1,10,1,0,False,0.5,32,4,4,4,1.5668997764587402,1,0,4,0,70,0.5,0,dangerous,harvest,0,0.44909900246355294,1.0,1.0,0.0,1.0507001876831057,-0.0
37,1,10,1,1,False,0.5,32,4,4,4,2.033300399780273,1,0,4,1,70,0.5,0,dangerous,harvest,0,0.7096602855506119,0.0,-0.0,0.0,1.5504003763198853,-0.0
40,1,11,1,0,False,0.5,32,4,4,4,1.0507001876831057,1,0,4,0,70,0.5,0,dangerous,harvest,0,0.04945678733930703,0.0,0.0,0.0,1.0181999206542969,-0.0
41,1,11,1,1,False,0.5,32,4,4,4,1.5504003763198853,1,0,4,1,70,0.5,0,dangerous,harvest,0,0.4385132048787195,0.0,0.0,0.0,1.6673002243041992,-0.0
44,1,12,1,0,True,0.5,-20,4,4,4,1.0181999206542969,1,0,4,0,70,0.5,0,dangerous,captured,0,0.018036284558671536,0.0,0.0,-1.0,0.967099905,0.0
45,1,12,1,1,True,0.5,-20,4,4,4,1.6673002243041992,1,0,4,1,70,0.5,0,dangerous,captured,0,0.5112056861156646,0.0,0.0,0.0,4.183599948883057,-0.0
48,1,13,1,0,False,0.25,32,4,3,3,0.967099905,1,-1,4,0,70,0.5,1,dangerous,harvest,0,-0.03345347449105149,0.0,0.0,1.0,1.4683998823165894,1.0
49,1,13,1,1,False,0.5,32,3,4,4,4.183599948883057,1,1,4,1,70,0.25,1,dangerous,harvest,0,1.4311721076795652,-1.0,-0.0,0.0,1.4176000356674194,-0.0
52,1,14,1,0,False,0.5,32,4,4,4,1.4683998823165894,1,0,4,0,70,0.5,0,dangerous,harvest,0,0.3841732924965655,0.0,-0.0,0.0,2.051699638366699,-0.0
53,1,14,1,1,False,0.5,32,4,4,4,1.4176000356674194,1,0,4,1,70,0.5,0,dangerous,harvest,0,0.3489653260291048,1.0,1.0,0.0,1.317500352859497,-0.0
56,1,15,1,0,True,0.5,-20,4,4,4,2.051699638366699,1,0,4,0,70,0.5,0,dangerous,captured,0,0.7186685415296864,0.0,0.0,0.0,1.2178000211715698,-0.0
57,1,15,1,1,True,0.5,-20,4,4,4,1.317500352859497,1,0,4,1,70,0.5,0,dangerous,captured,0,0.2757362692583897,0.0,0.0,0.0,1.2666999101638794,-0.0
60,1,16,1,0,False,0.5,32,4,4,4,1.2178000211715698,1,0,4,0,70,0.5,0,dangerous,harvest,0,0.19704596957743242,0.0,0.0,0.0,1.0522000789642334,-0.0
61,1,16,1,1,False,0.5,32,4,4,4,1.2666999101638794,1,0,4,1,70,0.5,0,dangerous,harvest,0,0.23641502258606048,0.0,0.0,-1.0,3.3993990421295166,0.0
64,1,17,1,0,False,0.75,32,3,4,4,1.0522000789642334,1,1,4,0,70,0.5,1,dangerous,harvest,0,0.050883285361357895,-1.0,-0.0,0.0,1.2018001079559326,-0.0
65,1,17,1,1,False,0.5,32,4,3,4,3.3993990421295166,1,-1,4,1,70,0.75,0,dangerous,harvest,1,1.2235986636847362,0.0,0.0,1.0,1.533400058746338,1.0
68,1,18,1,0,True,0.5,-20,4,4,4,1.2018001079559326,1,0,4,0,70,0.5,0,dangerous,captured,0,0.18382052274622085,1.0,1.0,0.0,1.301099658,-0.0
69,1,18,1,1,True,0.5,-20,4,4,4,1.533400058746338,1,0,4,1,70,0.5,0,dangerous,captured,0,0.4274875304538196,0.0,-0.0,0.0,1.3670001029968262,-0.0
72,1,19,1,0,False,0.5,32,4,4,4,1.301099658,1,0,4,0,70,0.5,0,dangerous,harvest,0,0.26320979767275093,0.0,0.0,0.0,0.9521000385284424,-0.0
73,1,19,1,1,False,0.5,32,4,4,4,1.3670001029968262,1,0,4,1,70,0.5,0,dangerous,harvest,0,0.31261863308696414,0.0,0.0,0.0,1.3837000131607056,-0.0
76,1,20,1,0,True,0.5,-20,4,4,4,0.9521000385284424,1,0,4,0,70,0.5,0,dangerous,captured,0,-0.04908516722368997,0.0,0.0,0.0,1.3843001127243042,-0.0
77,1,20,1,1,True,0.5,-20,4,4,4,1.3837000131607056,1,0,4,1,70,0.5,0,dangerous,captured,0,0.3247610802044436,0.0,0.0,0.0,1.3164000511169434,-0.0
80,1,21,1,0,False,0.5,32,4,4,4,1.3843001127243042,1,0,4,0,70,0.5,0,dangerous,harvest,0,0.32519467814209446,0.0,0.0,0.0,0.9005999565124512,-0.0
81,1,21,1,1,False,0.5,32,4,4,4,1.3164000511169434,1,0,4,1,70,0.5,0,dangerous,harvest,0,0.2749007769179065,0.0,0.0,0.0,1.4510003328323364,-0.0
84,1,22,1,0,True,0.5,-20,4,4,4,0.9005999565124512,1,0,4,0,70,0.5,0,dangerous,captured,0,-0.10469411940197411,0.0,0.0,0.0,1.137000560760498,-0.0
85,1,22,1,1,True,0.5,-20,4,4,4,1.4510003328323364,1,0,4,1,70,0.5,0,dangerous,captured,0,0.3722532032833728,0.0,0.0,0.0,1.2324001789093018,-0.0
88,1,23,1,0,False,0.5,32,4,4,4,1.137000560760498,1,0,4,0,70,0.5,0,dangerous,harvest,0,0.12839370796132754,0.0,0.0,0.0,0.8678000569343567,-0.0
89,1,23,1,1,False,0.5,32,4,4,4,1.2324001789093018,1,0,4,1,70,0.5,0,dangerous,harvest,0,0.20896363291182077,0.0,0.0,0.0,1.0664998292922974,-0.0
92,1,24,1,0,False,0.5,32,4,4,4,0.8678000569343567,1,0,4,0,70,0.5,0,dangerous,harvest,0,-0.14179394001019507,0.0,0.0,0.0,0.8337000012397766,-0.0
93,1,24,1,1,False,0.5,32,4,4,4,1.0664998292922974,1,0,4,1,70,0.5,0,dangerous,harvest,0,0.06438209886577426,0.0,0.0,0.0,1.068100094795227,-0.0
96,1,25,1,0,False,0.5,32,4,4,4,0.8337000012397766,1,0,4,0,70,0.5,0,dangerous,harvest,0,-0.18188165207849172,0.0,0.0,0.0,1.0006000995635986,-0.0
97,1,25,1,1,False,0.5,32,4,4,4,1.068100094795227,1,0,4,1,70,0.5,0,dangerous,harvest,0,0.06588145786477463,0.0,0.0,0.0,1.2497004270553589,-0.0
100,1,26,1,0,True,0.5,-20,4,4,4,1.0006000995635986,1,0,4,0,70,0.5,0,dangerous,captured,0,0.0005999195758589601,0.0,0.0,0.0,0.8679999709129333,-0.0
101,1,26,1,1,True,0.5,-20,4,4,4,1.2497004270553589,1,0,4,1,70,0.5,0,dangerous,captured,0,0.22290386423584396,0.0,0.0,0.0,4.132799149,-0.0
